1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,935158,0,63356,72177,0,28451,16345,79,5740,6287,68597,49974,18623,0,184698,328507,3482,57777,118836,92046,26790,0,9276,85567,0,83447,51792,25350,550,4186,1569,1034,1086
1952:Q1,947576,0,62460,73469,0,30920,17164,123,7499,6134,68481,49829,18652,0,186382,331585,3612,58445,122766,93177,29589,0,9456,86224,0,84061,53066,24597,550,4229,1619,1058,1105
1952:Q2,962676,0,60709,75744,0,33084,16894,0,9835,6355,68618,49705,18913,0,192554,332505,3696,59153,126980,96114,30866,0,9633,90411,0,88204,54798,26878,533,4300,1695,1084,1123
1952:Q3,973891,0,63520,77273,0,34755,18019,0,10606,6130,68829,49703,19126,0,192052,332825,3837,59892,131097,98799,32298,0,9811,93441,0,91189,56640,27965,466,4347,1771,1110,1142
1952:Q4,971729,0,65498,79651,0,35169,18216,-1,10957,5997,69176,49887,19289,0,181107,330661,3932,60665,135222,101740,33482,0,10648,97890,0,95595,58416,30522,417,4404,1836,1133,1162
1953:Q1,975473,0,66253,81545,0,35208,17435,52,11875,5846,69877,50258,19619,0,177850,329104,3867,61439,139501,104909,34592,0,10829,100207,0,97869,60006,30901,431,4618,1913,1154,1184
1953:Q2,973171,0,63017,84177,0,39045,20054,135,12743,6113,69783,49897,19886,0,168575,327737,3778,62199,143864,107734,36130,0,10996,104699,0,102319,62225,32672,571,4864,1987,1173,1207
1953:Q3,979231,0,65644,85755,0,39364,19865,209,13542,5748,69946,49926,20020,0,163841,328684,3753,62937,148161,110766,37395,0,11146,107229,0,104806,64205,33354,347,4850,2050,1192,1231
1953:Q4,1003033,0,66782,87886,0,38681,18667,154,13873,5987,70364,50079,20285,0,177571,330215,4146,63647,152448,113937,38511,0,11293,110624,0,108158,65938,34614,478,4996,2132,1212,1254
1954:Q1,1020798,0,65213,89888,0,39020,18775,140,14386,5719,70699,50207,20492,0,188597,330434,4512,64339,156688,116918,39770,0,11408,110496,0,107988,67351,32744,583,5086,2224,1233,1275
1954:Q2,1043211,0,64229,92829,0,38450,18010,140,14678,5622,71195,50378,20817,0,203774,330343,4895,65018,160991,119781,41210,0,11487,114312,0,111763,69614,34006,510,5311,2322,1255,1294
1954:Q3,1073435,0,68458,94440,0,37369,16498,152,15246,5473,71729,50622,21107,0,221809,331710,5469,65687,165191,122838,42353,0,11573,117763,0,115171,72336,34242,581,5615,2397,1277,1315
1954:Q4,1085913,0,68863,97182,0,37084,16121,147,15964,4852,72409,50986,21423,0,222894,333825,6110,66349,169529,125663,43866,0,11668,123092,0,120453,75356,35963,675,6047,2412,1298,1341
1955:Q1,1103954,0,68549,99274,0,38748,17475,39,16484,4750,72984,51188,21796,0,229229,335803,6525,67031,174001,128653,45348,0,11810,126315,0,123626,78237,35702,804,6442,2441,1318,1371
1955:Q2,1133402,0,66159,101868,0,40234,18056,117,17509,4552,73186,51097,22089,0,249979,336411,7186,67740,178721,130897,47824,0,11918,133426,0,130685,81697,38755,1386,6552,2295,1336,1405
1955:Q3,1163508,0,69652,103362,0,42276,19003,232,18360,4681,73478,51163,22315,0,264068,339575,7257,68498,183332,133140,50192,0,12009,138787,0,135989,85032,40543,1451,6701,2262,1356,1442
1955:Q4,1179302,0,70033,105783,0,43368,18614,605,19174,4975,73853,51128,22725,0,265346,343803,7839,69254,187850,135876,51974,0,12173,144426,0,141563,87936,42949,1799,6713,2166,1381,1482
1956:Q1,1212286,0,69369,107946,0,45534,20077,721,19569,5167,74568,51369,23199,0,281568,349606,8555,70104,192789,138895,53894,0,12247,146184,0,143246,90356,42251,1432,6770,2437,1413,1525
1956:Q2,1217009,0,67945,110925,0,46872,19863,958,20436,5615,74829,51155,23674,0,272443,354354,8613,71013,197659,142556,55103,0,12356,151445,0,148420,93327,44281,1388,6856,2568,1452,1573
1956:Q3,1227488,0,70647,112516,0,48602,20394,1115,21308,5785,75081,51105,23976,0,267405,357937,8506,71904,202457,145769,56688,0,12433,154832,0,151717,96174,44978,874,6905,2786,1493,1622
1956:Q4,1261774,0,71871,115230,0,49060,20090,959,21900,6111,75344,51017,24327,0,287754,360826,9046,72724,207371,149120,58251,0,12548,159599,0,156400,98745,46580,1181,7034,2860,1530,1669
1957:Q1,1265114,0,70801,118462,0,51600,21276,933,22537,6854,75288,50417,24871,0,274211,364547,9106,73468,214959,155349,59610,0,12672,160760,0,157483,100851,45242,1507,7006,2877,1563,1714
1957:Q2,1295806,0,68664,121985,0,52610,21603,1154,22812,7041,75287,49954,25333,0,290571,367267,9687,74135,222847,160573,62274,0,12753,165827,0,162473,103039,47223,1972,7317,2922,1594,1760
1957:Q3,1288469,0,71303,123872,0,54976,22998,1100,23526,7352,75328,49485,25843,0,264952,371022,9001,74784,230404,166990,63414,0,12828,168970,0,165541,105397,47971,1724,7327,3122,1625,1804
1957:Q4,1303897,0,70971,127167,0,55721,23231,1463,23851,7176,75453,49170,26283,0,266362,373179,8714,75462,237957,173357,64600,0,12911,172075,0,168574,107374,49217,1568,7160,3255,1658,1843
1958:Q1,1335850,0,70819,130705,0,56176,22603,1208,24382,7983,76047,49297,26750,0,280533,379183,9463,76183,243715,177009,66706,0,13027,171210,0,167639,108975,46775,762,7550,3577,1694,1877
1958:Q2,1361017,0,67287,134835,0,54438,22996,824,23317,7301,76774,49235,27539,0,294974,382512,10610,76958,249584,180465,69119,0,13045,174780,0,171146,111142,47704,333,8111,3856,1731,1903
1958:Q3,1408401,0,72779,137708,0,52971,20619,798,23794,7760,77310,49142,28168,0,323831,385536,11791,77752,255559,183579,71980,0,13164,178356,0,174656,114035,47940,472,8280,3929,1769,1931
1958:Q4,1434510,0,73698,141266,0,54143,20770,833,24616,7924,77911,49024,28887,0,333702,387266,13242,78535,261505,186550,74955,0,13242,184146,0,180368,117177,49490,1239,8591,3871,1809,1969
1959:Q1,1453658,0,73247,143832,0,56944,22345,917,25460,8222,78234,48904,29330,0,339992,387977,14132,79331,266590,189575,77015,0,13379,186640,0,182564,119935,48991,781,8742,4115,2059,2017
1959:Q2,1476091,0,72429,147681,0,57963,22258,1523,26068,8114,78257,48318,29939,0,351618,387551,14973,80133,271973,191883,80090,0,13513,193675,0,189502,123346,51878,1016,8985,4277,2099,2074
1959:Q3,1484584,0,76003,149934,0,61011,23793,2011,27058,8149,77996,47682,30314,0,345702,387252,14747,80994,277284,195040,82244,0,13661,199890,0,195608,127007,53918,1320,8984,4379,2149,2133
1959:Q4,1516360,0,75548,152525,0,64358,25512,2267,28362,8217,76515,45714,30801,0,364772,388616,15818,81956,282450,197407,85043,0,13801,206698,0,202312,130099,57213,1424,9206,4370,2199,2187
1960:Q1,1511000,0,73762,154522,0,69706,29565,1630,28972,9539,76522,45180,31342,0,344367,391557,15312,82895,288429,202160,86269,0,13927,207621,0,203144,132580,55757,908,9090,4809,2239,2238
1960:Q2,1529483,0,72042,158156,0,70504,28513,1909,30072,10010,76883,44773,32110,0,350355,392611,16097,83772,295014,205708,89306,0,14049,214480,0,209903,135366,58622,1572,9401,4942,2289,2288
1960:Q3,1521611,0,75669,161281,0,69857,27973,1294,30503,10087,77909,45089,32820,0,326084,395557,15640,84539,300892,210722,90170,0,14183,219062,0,214457,138582,59590,1526,9679,5080,2269,2336
1960:Q4,1577647,0,77538,164461,0,69154,26502,1033,31007,10612,79315,45740,33575,0,364813,398553,17026,85184,307270,213395,93875,0,14332,224545,0,219857,141378,61248,2122,9901,5208,2309,2379
1961:Q1,1630496,0,75482,169701,0,67790,26023,359,30769,10639,79890,45465,34425,0,403502,400864,19440,85872,313474,215568,97906,0,14481,225306,0,220580,143645,59339,1795,10472,5329,2309,2417
1961:Q2,1647237,0,73819,175096,0,67904,24589,224,31610,11481,81431,46178,35253,0,403359,404519,20003,86665,319799,218983,100816,0,14643,231507,0,226650,146603,60597,2857,11139,5454,2409,2448
1961:Q3,1676529,0,76743,177733,0,68371,25921,244,31180,11026,81787,45777,36010,0,412972,409729,21007,87588,325795,222364,103431,0,14803,235782,0,230865,150179,61082,2725,11279,5600,2439,2478
1961:Q4,1729607,0,76926,182845,0,69387,25449,592,32506,10840,82589,45755,36834,0,443622,415778,22875,88631,331988,224763,107225,0,14966,242908,0,237897,154027,63435,2992,11700,5743,2499,2512
1962:Q1,1734196,0,75175,189204,0,69362,26353,567,31469,10973,83005,45628,37377,0,433425,420714,22981,89663,335565,226566,108999,0,15102,244235,0,239137,156488,62038,3202,11525,5884,2549,2549
1962:Q2,1639232,0,73040,196080,0,69118,26370,410,31384,10954,84263,46288,37975,0,329923,423949,18257,90651,338706,232378,106328,0,15245,251334,0,246168,160237,65435,3084,11362,6050,2579,2587
1962:Q3,1677725,0,75396,201423,0,70279,27948,286,31852,10193,84956,46550,38406,0,348575,428804,18796,91563,342545,233264,109281,0,15388,257549,0,252324,164345,66626,3259,11883,6211,2599,2626
1962:Q4,1780274,0,77148,208828,0,69232,26699,235,32087,10211,85161,46155,39006,0,431479,432848,20909,92398,346726,232985,113741,0,15545,265044,0,259748,168307,69344,3450,12308,6339,2629,2667
1963:Q1,1808030,0,78347,215765,0,65500,23170,9,31665,10656,85257,45933,39324,0,444237,434808,22156,93355,352905,235776,117129,0,15700,267954,0,262564,171352,68935,3160,12575,6542,2679,2711
1963:Q2,1845665,0,77211,223030,0,64641,22610,0,31642,10389,87139,47046,40093,0,465592,434924,23306,94378,359582,238160,121422,0,15862,277471,0,271954,175801,72217,3756,13531,6649,2759,2758
1963:Q3,1881713,0,79930,227746,0,65002,23997,0,31128,9877,87304,46985,40319,0,485481,434896,24118,95473,365745,241094,124651,0,16018,284988,0,279333,180662,74362,3373,14161,6775,2849,2806
1963:Q4,1877103,0,81977,234936,0,66655,24418,0,32094,10143,87856,47328,40528,0,457587,438464,24819,96635,371995,244021,127974,0,16178,293999,0,288207,185106,77870,3794,14502,6935,2939,2853
1964:Q1,1923209,0,79273,240745,0,68234,25798,0,32475,9961,89168,48288,40880,0,486613,439357,26433,97719,379278,246744,132534,0,16389,297963,0,291997,188776,78041,3561,14538,7081,3068,2898
1964:Q2,1960874,0,79831,247988,0,68446,25825,0,33112,9509,88453,47295,41158,0,501922,444665,27156,98806,386996,249582,137414,0,16611,307560,0,301501,193368,81812,4366,14718,7237,3118,2941
1964:Q3,2004974,0,84639,253567,0,69385,25619,0,34138,9628,89905,48292,41613,0,518877,449034,28523,99913,394267,253006,141261,0,16863,314372,0,308218,198076,84142,3863,14749,7388,3168,2986
1964:Q4,2043042,0,84785,261041,0,69875,24486,245,34854,10290,90360,48262,42098,0,530699,458149,28447,101051,401472,256688,144784,0,17163,323363,0,317126,202335,87352,5134,14765,7540,3198,3039
1965:Q1,2079714,0,82442,268791,0,71018,27113,21,33771,10113,90861,48686,42175,0,544164,463182,29751,102149,409874,261211,148663,0,17481,326858,0,320493,205891,87645,4309,14930,7718,3268,3097
1965:Q2,2077903,0,82729,275058,0,70757,26678,618,33792,9669,91268,48788,42480,0,521171,468067,29291,103382,418356,266927,151429,0,17824,336463,0,329925,210329,92243,4292,15156,7905,3378,3160
1965:Q3,2153696,0,88745,280622,0,72069,26280,909,34915,9965,91547,49156,42391,0,566815,471930,32050,104656,427077,269524,157553,0,18184,343379,0,336663,215042,94391,3929,15215,8086,3488,3228
1965:Q4,2224587,0,91520,288514,0,71438,24774,1132,36531,9001,92289,49678,42611,0,601439,485039,34410,105876,435522,273509,162013,0,18540,352779,0,345859,219449,97489,4707,15956,8258,3617,3303
1966:Q1,2229990,0,89949,294109,0,78025,28787,1843,37666,9729,92113,49513,42600,0,581368,487742,35326,107049,445412,280206,165206,0,18897,355957,0,348845,223358,97096,3546,16409,8436,3727,3385
1966:Q2,2236432,0,88870,299561,0,79074,25623,4946,38778,9727,93987,50560,43427,0,555687,501720,34547,108190,455635,288188,167447,0,19161,365653,0,358361,227232,100205,5292,17016,8616,3817,3475
1966:Q3,2203134,0,91803,301554,0,84603,28546,5724,39058,11275,94629,50639,43990,0,497826,507724,31301,109347,464852,298037,166815,0,19495,369544,0,362089,230272,100989,4707,17321,8800,3887,3568
1966:Q4,2272063,0,93353,307135,0,86024,27902,5850,41151,11121,95730,51113,44617,0,531716,518534,33850,110568,475291,302788,172503,0,19863,376015,0,368389,232742,103422,5378,17891,8956,3967,3659
1967:Q1,2370687,0,92714,317399,0,84641,27027,5837,39687,12090,96510,51551,44959,0,599333,522810,38226,111833,486787,305690,181097,0,20434,375805,0,368002,234221,101348,4488,18796,9149,4067,3736
1967:Q2,2404065,0,93542,328252,0,80255,24029,5716,38330,12180,97376,52032,45344,0,605033,528320,39284,113070,498099,312411,185688,0,20833,383139,0,375096,237076,104131,5045,19647,9197,4236,3807
1967:Q3,2477783,0,97391,335860,0,84437,26253,5625,39262,13297,98440,52563,45877,0,641200,533653,42006,114312,509267,317007,192260,0,21217,389200,0,380909,241547,105544,3532,20891,9395,4415,3876
1967:Q4,2540069,0,103731,342144,0,87305,27721,6265,38208,15111,100037,53430,46607,0,663676,543199,42973,115533,519848,324199,195649,0,21624,410854,0,402313,245974,108567,13404,22426,11942,4594,3947
1968:Q1,2524139,0,99805,350920,0,90165,32074,5670,37137,15284,100278,52966,47312,0,614634,556274,40523,116735,532748,337466,195282,0,22057,402456,0,393692,249378,107272,4976,22257,9809,4733,4031
1968:Q2,2649724,0,101539,356638,0,91551,30503,6475,38066,16507,103108,55351,47757,0,697727,564496,45972,117919,548249,340999,207250,0,22525,415170,0,406256,253675,111404,6276,24930,9971,4793,4121
1968:Q3,2697202,0,105852,364408,0,92165,31806,5982,37621,16756,105564,56829,48735,0,705275,571553,48300,119108,561968,349169,212799,0,23009,422768,0,413573,258183,114160,5424,25654,10152,4982,4213
1968:Q4,2830617,0,112659,372312,0,90473,29817,6120,36490,18046,105878,56796,49082,0,791494,588296,49529,120321,576138,357395,218743,0,23517,436130,0,426687,262934,119324,6808,27320,10301,5141,4302
1969:Q1,2815216,0,105257,377319,0,101511,37157,5981,40035,18338,100691,53370,47321,0,745190,599732,48554,121558,591283,370980,220303,0,24122,434905,0,425235,264857,118884,4866,26142,10486,5280,4390
1969:Q2,2808171,0,106702,382216,0,99897,30483,7983,42266,19165,102168,55130,47038,0,707585,608672,46190,122811,607266,383416,223850,0,24664,446316,0,436389,269738,123675,5892,26400,10684,5449,4478
1969:Q3,2816726,0,105362,380750,0,114569,39061,9209,45302,20997,99453,52024,47429,0,686177,612640,46004,124080,622639,396339,226300,0,25052,452164,0,441988,274512,125813,5043,25754,10866,5608,4568
1969:Q4,2815123,0,110925,381127,0,121674,41065,11305,47244,22060,103989,54752,49237,0,638984,623254,45578,125359,638481,407519,230962,0,25752,463762,0,453267,278689,129231,7557,26775,11015,5807,4688
1970:Q1,2826077,0,106909,382156,0,130275,46525,14195,48079,21476,100337,53228,47109,0,614908,632621,46279,126700,659498,425630,233868,0,26393,456221,0,445463,275814,126663,5199,26458,11329,5966,4792
1970:Q2,2730632,0,113195,390277,0,122876,36944,14982,48227,22723,101115,53146,47969,0,485261,650384,37027,127975,675440,449625,225815,0,27083,462779,0,451795,278674,129421,5751,26434,11515,6085,4899
1970:Q3,2859201,0,117103,408150,0,124805,34066,15735,48542,26462,103437,53607,49830,0,564921,645874,41919,129291,695919,454677,241242,0,27782,469717,0,458425,282347,131424,5633,27288,11733,6284,5008
1970:Q4,2963246,0,118500,423312,0,123668,30777,15943,47144,29804,105936,55828,50108,0,617731,654573,44501,130699,715874,462097,253777,0,28452,478718,0,467157,286015,133660,7493,28088,11901,6443,5118
1971:Q1,3093248,0,118783,446974,0,119817,26723,14951,46097,32046,105053,55693,49360,0,677526,674658,50329,132198,738802,470942,267860,0,29108,481470,0,469632,289592,134072,5154,28635,12179,6632,5206
1971:Q2,3147201,0,124397,462553,0,117233,22929,13112,46375,34817,105296,55505,49791,0,673299,689708,50571,133782,760635,486193,274442,0,29728,495120,0,483057,295363,138912,6879,29794,12109,6781,5282
1971:Q3,3190287,0,126293,475713,0,122312,24528,13937,46564,37283,103970,55336,48634,0,658901,705139,49798,135412,782401,499942,282459,0,30348,507864,0,495408,302822,143465,6040,30737,12344,7100,5356
1971:Q4,3300229,0,131844,490887,0,117695,19672,14615,45970,37438,105466,58125,47341,0,707587,720883,53006,137050,804816,511294,293522,0,30995,524058,0,511303,309454,149243,8094,32037,12475,7319,5436
1972:Q1,3413508,0,130583,511155,0,118766,21572,12831,46559,37804,105057,57397,47660,0,748641,742587,55084,138719,831235,522932,308303,0,31681,531304,0,518270,316038,148847,6401,34295,12689,7478,5556
1972:Q2,3468674,0,130848,529177,0,116026,19190,11668,46909,38259,106601,58425,48176,0,744860,756529,54180,140425,857644,538347,319297,0,32384,551242,0,537894,324462,156222,8386,35949,12875,7647,5701
1972:Q3,3560188,0,135012,548894,0,116679,19677,10943,47181,38878,105819,57435,48384,0,764315,776759,53712,142160,883721,552596,331125,0,33117,566693,0,553018,334408,161529,7181,36811,13089,7826,5849
1972:Q4,3760566,0,143997,564036,0,114853,19666,8898,47684,38605,108660,60400,48260,0,882122,802058,56383,143924,910634,561273,349361,0,33898,585391,0,571260,343552,168757,8616,37093,13242,8155,5976
1973:Q1,3753792,0,140820,588222,0,120345,22339,8537,50607,38862,106699,58868,47831,0,812281,829889,50224,145728,924937,575634,349303,0,34647,597513,61,583170,351550,171528,10062,36512,13518,8195,6087
1973:Q2,3752057,0,143495,603169,0,121039,22369,8472,51521,38677,109114,60899,48215,0,744351,863380,45290,147582,939226,590115,349111,0,35411,616421,144,601598,361814,180398,10434,35401,13551,8494,6185
1973:Q3,3881567,0,143080,617036,0,131476,27179,9481,54174,40642,108140,60533,47607,0,785638,904992,49090,149445,956495,589968,366527,0,36176,635514,255,620308,372134,186695,12058,35633,13788,8673,6278
1973:Q4,3809412,0,152350,626550,0,133185,28126,8332,55136,41591,111158,63927,47231,0,647173,938099,43695,151271,968997,610516,358481,0,36934,651927,400,636269,382218,192980,11894,35323,13854,8882,6376
1974:Q1,3843233,0,148134,648423,263,140679,34857,5738,56629,43455,110372,62201,48171,0,612434,957696,41490,153053,993021,625315,367706,0,37667,656176,578,639927,389858,190460,10248,35216,14145,9141,6530
1974:Q2,3828973,0,146991,665689,570,140069,28899,6970,57899,46301,114019,65069,48950,0,537817,977979,37557,154785,1015113,647402,367711,0,38384,676967,787,659896,400439,196777,12890,35614,14176,9569,6715
1974:Q3,3767420,0,149091,672283,1386,129895,7251,11510,62394,48740,140979,91041,49938,0,395668,1020045,29123,156539,1033307,685139,348168,0,39103,695386,1028,677702,411381,201241,14225,36432,14423,9748,6908
1974:Q4,3856819,0,157533,682996,2379,138999,7806,13669,62164,55360,142474,91880,50594,0,391408,1051038,31813,158390,1059952,692420,367532,0,39837,708576,1300,690163,419339,201926,17466,36967,14465,10027,7086
1975:Q1,4031538,0,144896,711073,3620,136306,3257,11529,62603,58917,138099,93397,44702,0,485182,1079881,37436,161437,1092910,692726,400184,0,40699,707900,1603,688965,424313,195912,16443,37620,14677,10074,7258
1975:Q2,4205224,0,154820,729697,3661,134888,5750,8769,63059,57310,141633,94526,47107,0,556835,1109653,42283,163786,1126405,684764,441641,0,41563,721930,1937,702385,434575,195933,18878,38305,14694,10177,7431
1975:Q3,4208385,0,157040,744917,3708,150147,15454,7681,65177,61835,141151,91676,49475,0,486024,1128208,36835,165845,1151947,708817,443130,0,42562,742013,2303,721757,446324,201183,20117,39157,14976,10357,7596
1975:Q4,4341273,0,158857,765194,3645,160803,20583,7584,66809,65827,146407,95926,50481,0,523873,1149591,38749,168615,1181733,714703,467030,0,43806,765731,2700,744767,459087,206996,23548,40149,14987,10520,7744
1976:Q1,4502602,0,154281,793835,3557,157990,18383,6963,69757,62887,148556,97200,51356,0,610222,1169742,42619,170603,1206062,709813,496249,0,45136,775261,3131,753571,469994,204908,21579,41915,15175,10657,7902
1976:Q2,4621145,0,160004,817141,3341,161421,14604,7584,73874,65359,149373,97274,52099,0,629097,1212595,42441,173063,1226048,713494,512554,0,46621,802013,3575,779794,483990,213148,23638,43672,15346,10599,8045
1976:Q3,4710739,0,161997,837266,3322,165644,14297,6993,74962,69392,150101,97173,52928,0,640103,1241278,40957,175284,1246623,725105,521518,0,48164,827173,4082,804208,501121,220688,22208,44704,15487,10687,8196
1976:Q4,4835432,0,169708,856844,3099,167885,6214,11611,72859,77201,156853,104014,52839,0,664031,1279516,41436,177810,1268575,734019,534556,0,49675,855307,4700,831551,517073,228961,24073,45896,15548,10681,8375
1977:Q1,4874873,0,169573,892047,2939,168855,9660,7418,73367,78410,152609,98981,53628,0,608789,1314418,37826,180110,1296300,758401,537899,0,51407,872087,5453,847264,531310,229155,24587,46514,15698,10788,8582
1977:Q2,4980453,0,172912,912466,3017,164767,1110,7507,77953,78197,155173,100720,54453,0,622067,1347785,40651,182542,1325778,768447,557331,0,53295,910820,6363,884811,554091,242048,24636,48103,15933,10828,8818
1977:Q3,5062240,0,180829,938050,2956,167565,4084,7832,76821,78828,154647,99352,55295,0,591498,1392180,40413,184977,1353912,779959,573953,0,55213,949004,7291,921787,579911,252953,24160,48680,16083,10866,9060
1977:Q4,5149392,0,184665,958246,3197,171973,3645,8260,78817,81251,161926,106548,55378,0,559025,1443282,40355,187791,1381895,792006,589889,0,57037,986838,8100,958399,602997,264892,24474,49728,16308,11055,9284
1978:Q1,5250663,0,184363,987664,4734,177279,4633,8452,84708,79486,162192,105771,56421,0,525569,1505372,39400,190447,1414822,812680,602142,0,58821,1009747,8808,980137,621021,266971,23380,52193,16572,11268,9534
1978:Q2,5418227,0,191103,1006749,6050,180140,1049,8340,92098,78653,165449,106431,59018,0,559106,1562983,41664,193515,1450915,815143,635772,0,60553,1060106,9431,1029354,648036,284526,24417,55477,16898,11531,9790
1978:Q3,5596133,0,198214,1030747,7215,186829,5711,8388,97663,75067,170569,108948,61621,0,594913,1616962,43683,196379,1488329,809633,678696,0,62293,1107675,10039,1075893,678951,298022,23817,58223,16880,11684,10059
1978:Q4,5701835,0,201337,1048950,8928,187727,-3453,9657,104168,77355,186139,123694,62445,0,567841,1675017,41080,199349,1521371,829941,691430,0,64095,1150198,10700,1117311,708641,311305,24471,55754,17140,11838,10349
1979:Q1,5890560,0,195195,1070963,15693,199668,2465,11425,109320,76458,182671,117863,64808,0,602005,1750402,42476,201981,1563530,843202,720328,0,65976,1177742,11398,1143602,733605,313819,22925,56035,17218,12077,10665
1979:Q2,6058652,0,206801,1082553,22681,214404,9935,11300,116924,76245,184391,116325,68066,0,613786,1816155,43252,204874,1601859,855751,746108,0,67896,1225297,12118,1189950,763421,327319,21881,60075,17254,12219,11010
1979:Q3,6263258,0,220038,1103342,29822,219897,15999,12373,121212,70313,190606,119428,71178,0,652390,1883999,44837,207470,1641008,855719,785289,0,69849,1275704,12854,1239235,795927,341528,21675,62614,17491,12255,11360
1979:Q4,6464976,0,221039,1115447,39459,258430,44751,12405,123569,77705,197359,125748,71611,0,684612,1944220,38388,210280,1683912,876338,807574,0,71830,1321171,13600,1283296,826724,354616,22486,61871,17599,12583,11692
1980:Q1,6540581,0,211672,1140176,54525,269806,57144,18949,123903,69810,194898,113902,80996,0,625258,1994158,39456,212738,1723943,904265,819678,0,73951,1350185,14339,1311003,856228,349662,22115,65448,17550,12840,12003
1980:Q2,6794236,0,216035,1159218,69928,272982,58556,17399,126511,70516,193876,110934,82942,0,715648,2051922,44130,215426,1779480,903958,875522,0,75590,1368434,15056,1328078,873960,345637,22715,67904,17862,13012,12288
1980:Q3,7076130,0,234910,1190354,70003,279196,62780,16719,128655,71042,201148,114311,86837,0,806795,2116174,49129,217843,1833378,900082,933296,0,77200,1404433,15820,1362670,901374,350336,21851,70792,18317,13356,12587
1980:Q4,7361190,0,238699,1239537,64366,293025,76561,18565,129980,67919,206057,118802,87255,0,896643,2187652,52060,220528,1883717,914020,969697,0,78906,1446883,16700,1403487,926526,358044,23844,76832,18241,13757,12939
1981:Q1,7498649,0,241672,1242638,98522,289918,70388,14183,142831,62516,198549,109170,89379,0,899135,2239467,52359,222820,1932661,943846,988815,0,80908,1456128,17634,1411217,940590,353902,22230,76061,18434,13919,13358
1981:Q2,7621945,0,249611,1263473,108564,295043,66681,14166,150846,63350,201473,105837,95636,0,879520,2281103,53153,225469,1981569,973642,1007927,0,82967,1493528,18563,1446896,964154,361610,23855,78570,18707,14210,13859
1981:Q3,7632918,0,259581,1288576,137398,315671,80979,13443,159179,62070,200749,101111,99638,0,734663,2308707,48742,227675,2026229,1008779,1017450,0,84927,1524516,19660,1476133,981849,371928,23464,79902,18990,14378,14345
1981:Q4,7904378,0,284890,1336755,154610,326314,80947,14503,159290,71574,207001,105594,101407,0,795965,2345339,52640,230103,2083971,1020401,1063570,0,86791,1555995,21100,1505450,998261,377882,26284,83987,19036,14723,14722
1982:Q1,7940293,0,278757,1385026,164885,341919,85359,14032,171865,70663,207176,101300,105876,0,674492,2378745,49981,232020,2139050,1046182,1092868,0,88241,1560063,22860,1507329,1007909,373537,24266,81708,19909,14873,15001
