1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q4,89789,63878,12808,1847,1847,0,49223,0,0,0,39570,518,9135,0,25911,20729,5182,89789,9390,0,0,11997,2619,0,0,4896,11314,0,1064,1335,1386,6670,33118,6000
1978:Q1,91638,67215,13719,1934,1934,0,51562,0,0,0,40875,541,10146,0,24423,19538,4885,91638,10332,0,0,9012,2903,0,0,7784,11350,0,1505,1788,1149,6081,33634,6100
1978:Q2,97416,72884,14419,2188,2188,0,56277,0,0,0,43600,650,12027,0,24532,19626,4906,97416,9330,0,0,8956,3287,0,0,7462,11335,0,2304,1815,788,5383,40556,6200
1978:Q3,97117,74945,14992,2580,2580,0,57373,0,0,0,43702,666,13005,0,22172,17738,4434,97117,9061,0,0,9621,3467,0,0,9027,11173,0,2683,1429,236,4166,39954,6300
1978:Q4,107456,82236,15499,2880,2880,0,63857,0,0,0,47396,626,15835,0,25220,20290,4930,107456,9512,0,0,10233,3588,0,0,6349,11162,0,3652,1883,188,5804,48620,6465
1979:Q1,115734,90229,17665,3106,3106,0,69458,0,0,0,52365,658,16435,0,25505,20515,4990,115734,8896,0,0,9763,3500,0,0,8080,11593,0,7012,1842,170,4960,52918,7000
1979:Q2,128400,100201,20564,3241,3206,35,76396,0,0,0,56691,749,18956,0,28199,22649,5550,128400,8604,0,0,10782,3329,0,0,9041,12498,0,10684,1844,47,8025,56046,7500
1979:Q3,137501,104935,23828,3976,3824,152,77131,0,0,0,56058,658,20415,0,32566,26126,6440,137501,7732,0,0,11079,3704,0,0,10126,13894,0,13471,1925,52,7861,59657,8000
1979:Q4,144985,110892,24518,4553,4297,256,81821,0,0,0,60678,761,20382,0,34093,27343,6750,144985,9586,0,0,12658,3981,0,0,7957,15396,0,19298,1808,336,7169,58384,8412
1980:Q1,155653,118162,31052,5217,4846,371,81893,0,0,0,58743,648,22502,0,37491,30041,7450,155653,10176,0,0,11603,3961,0,0,7302,16621,0,26145,1936,488,6144,62627,8650
1980:Q2,164302,123247,36334,5531,5027,504,81382,0,0,0,45487,572,22624,12699,41055,32952,8103,164302,9757,0,0,14328,3709,0,0,8196,17671,0,36314,1710,1159,7913,54645,8900
1980:Q3,161823,119781,32189,5828,5240,588,81764,0,0,0,44768,516,23062,13418,42042,33148,8894,161823,9264,0,0,14912,4363,0,0,10978,18650,0,32261,2157,658,6655,52775,9150
1980:Q4,163820,121597,28026,6955,5904,1051,86616,0,0,0,47617,533,25943,12523,42223,33574,8649,163820,9132,0,0,14789,4764,0,0,10142,19531,0,31561,2306,374,6750,55137,9334
1981:Q1,176604,130118,31837,8483,6643,1840,89798,0,0,0,49395,548,25767,14088,46486,37195,9291,176604,8799,0,0,14512,4951,0,0,12795,20286,0,46244,1764,267,6799,51187,9000
1981:Q2,194563,145994,37819,9564,6526,3038,98611,0,0,0,54839,548,28857,14367,48569,38321,10248,194563,8163,0,0,15809,5414,0,5,14088,21787,0,55351,2031,300,10730,52185,8700
