1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,45250,45250,0,0,45250,7690,0,0,1370,221,26541,0,91,402,8478,43,37,0,0,0,377,0,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,51792,51792,0,0,51792,7978,0,0,1988,283,30013,0,116,405,10610,51,52,0,0,0,296,0,ND,ND,ND,ND,ND,ND
1952:Q1,53066,53066,0,0,53066,7834,0,0,2196,301,30805,0,118,357,10948,54,56,0,0,0,397,0,ND,ND,ND,ND,ND,ND
1952:Q2,54798,54798,0,0,54798,7907,0,0,2221,321,32072,0,118,404,11210,57,61,0,0,0,427,0,ND,ND,ND,ND,ND,ND
1952:Q3,56640,56640,0,0,56640,7975,0,0,2270,341,33485,0,118,360,11488,61,66,0,0,0,476,0,ND,ND,ND,ND,ND,ND
1952:Q4,58416,58416,0,0,58416,8000,0,0,2453,360,34702,0,117,390,11757,65,71,0,0,0,501,0,ND,ND,ND,ND,ND,ND
1953:Q1,60006,60006,0,0,60006,8153,0,0,2614,376,35706,0,117,395,12095,69,77,0,0,0,404,0,ND,ND,ND,ND,ND,ND
1953:Q2,62225,62225,0,0,62225,8233,0,0,2732,391,37267,0,118,428,12440,74,83,0,0,0,459,0,ND,ND,ND,ND,ND,ND
1953:Q3,64205,64205,0,0,64205,8239,0,0,2773,405,38769,0,119,386,12785,80,90,0,0,0,559,0,ND,ND,ND,ND,ND,ND
1953:Q4,65938,65938,0,0,65938,8322,0,0,2705,420,40085,0,119,383,13195,85,97,0,0,0,527,0,ND,ND,ND,ND,ND,ND
1954:Q1,67351,67351,0,0,67351,8290,0,0,2666,436,41182,0,119,361,13550,90,104,0,0,0,553,0,ND,ND,ND,ND,ND,ND
1954:Q2,69614,69614,0,0,69614,8348,0,0,2624,454,42830,0,119,456,13995,95,112,0,0,0,581,0,ND,ND,ND,ND,ND,ND
1954:Q3,72336,72336,0,0,72336,8452,0,0,2689,471,44821,0,119,416,14483,100,122,0,0,0,663,0,ND,ND,ND,ND,ND,ND
1954:Q4,75356,75356,0,0,75356,8523,0,0,2770,485,46938,0,120,407,15153,107,131,0,0,0,722,0,ND,ND,ND,ND,ND,ND
1955:Q1,78237,78237,0,0,78237,8572,0,0,2860,496,48892,0,124,505,15723,116,140,0,0,0,809,0,ND,ND,ND,ND,ND,ND
1955:Q2,81697,81697,0,0,81697,8621,0,0,2919,504,51484,0,131,543,16253,125,150,9,0,0,958,0,ND,ND,ND,ND,ND,ND
1955:Q3,85032,85032,0,0,85032,8578,0,0,2929,512,54061,0,138,526,16790,136,161,30,0,0,1171,0,ND,ND,ND,ND,ND,ND
1955:Q4,87936,87936,0,0,87936,8652,0,0,2929,523,55915,0,144,524,17661,148,170,86,0,0,1184,0,ND,ND,ND,ND,ND,ND
1956:Q1,90356,90356,0,0,90356,8785,0,0,2914,536,57491,0,148,522,18351,161,180,156,0,0,1112,0,ND,ND,ND,ND,ND,ND
1956:Q2,93327,93327,0,0,93327,8865,0,0,2902,548,59555,0,151,649,18950,176,189,233,0,0,1109,0,ND,ND,ND,ND,ND,ND
1956:Q3,96174,96174,0,0,96174,8847,0,0,2889,565,61693,0,153,596,19510,192,200,352,0,0,1177,0,ND,ND,ND,ND,ND,ND
1956:Q4,98745,98745,0,0,98745,8931,0,0,2885,594,63285,0,155,593,20130,208,213,649,0,0,1102,0,ND,ND,ND,ND,ND,ND
1957:Q1,100851,100851,0,0,100851,9166,0,0,2894,633,64303,0,156,678,20615,224,230,1031,0,0,921,0,ND,ND,ND,ND,ND,ND
1957:Q2,103039,103039,0,0,103039,9336,0,0,2923,684,65758,0,156,686,20914,239,249,1249,0,0,845,0,ND,ND,ND,ND,ND,ND
1957:Q3,105397,105397,0,0,105397,9431,0,0,2974,739,67424,0,156,651,21203,255,271,1445,0,0,848,0,ND,ND,ND,ND,ND,ND
1957:Q4,107374,107374,0,0,107374,9490,0,0,3051,789,68831,0,157,592,21441,271,293,1636,0,0,823,0,ND,ND,ND,ND,ND,ND
1958:Q1,108975,108975,0,0,108975,9503,0,0,3103,837,69770,0,163,666,21688,288,316,1718,0,0,923,0,ND,ND,ND,ND,ND,ND
1958:Q2,111142,111142,0,0,111142,9686,0,0,3130,883,71720,0,172,631,21859,304,341,1394,0,0,1022,0,ND,ND,ND,ND,ND,ND
1958:Q3,114035,114035,0,0,114035,9761,0,0,3157,931,74149,0,181,665,22045,323,368,1333,0,0,1122,0,ND,ND,ND,ND,ND,ND
1958:Q4,117177,117177,0,0,117177,9889,0,0,3281,983,76501,0,185,619,22374,344,398,1381,0,0,1222,0,ND,ND,ND,ND,ND,ND
1959:Q1,119935,119935,0,0,119935,9865,0,0,3598,1040,78365,0,156,723,22607,369,428,1464,0,0,1320,0,ND,ND,ND,ND,ND,ND
1959:Q2,123346,123346,0,0,123346,9825,0,0,3931,1104,81129,0,126,730,22801,397,458,1574,0,0,1271,0,ND,ND,ND,ND,ND,ND
1959:Q3,127007,127007,0,0,127007,9616,0,0,4139,1167,84055,0,68,780,23120,428,493,1777,0,0,1364,0,ND,ND,ND,ND,ND,ND
1959:Q4,130099,130099,0,0,130099,9501,0,0,4206,1222,86298,0,65,752,23583,459,536,2040,0,0,1437,0,ND,ND,ND,ND,ND,ND
1960:Q1,132580,132580,0,0,132580,9558,0,0,4083,1269,87772,0,65,930,23986,493,589,2370,0,0,1465,0,ND,ND,ND,ND,ND,ND
1960:Q2,135366,135366,0,0,135366,9800,0,0,4093,1309,89739,0,66,906,24283,531,653,2600,0,0,1386,0,ND,ND,ND,ND,ND,ND
1960:Q3,138582,138582,0,0,138582,10000,0,0,4148,1347,92065,0,68,875,24525,569,720,2806,0,0,1459,0,ND,ND,ND,ND,ND,ND
1960:Q4,141378,141378,0,0,141378,10263,0,0,4235,1388,94001,0,70,853,24879,602,782,2901,0,0,1404,0,ND,ND,ND,ND,ND,ND
1961:Q1,143645,143645,0,0,143645,10661,0,0,4290,1433,95443,0,73,993,25110,632,842,2768,0,0,1400,0,ND,ND,ND,ND,ND,ND
1961:Q2,146603,146603,0,0,146603,10899,0,0,4336,1481,97998,0,76,926,25337,660,903,2520,0,0,1467,0,ND,ND,ND,ND,ND,ND
1961:Q3,150179,150179,0,0,150179,11114,0,0,4378,1527,100700,0,81,1015,25413,687,962,2604,0,0,1698,0,ND,ND,ND,ND,ND,ND
1961:Q4,154027,154027,0,0,154027,11242,0,0,4448,1564,103273,0,88,1083,25776,717,1015,2870,0,0,1951,0,ND,ND,ND,ND,ND,ND
1962:Q1,156488,156488,0,0,156488,11677,0,0,4506,1595,104939,0,98,1134,25825,749,1062,3020,0,0,1883,0,ND,ND,ND,ND,ND,ND
1962:Q2,160237,160237,0,0,160237,11920,0,0,4476,1620,108193,0,111,1095,25966,784,1106,2863,0,0,2103,0,ND,ND,ND,ND,ND,ND
1962:Q3,164345,164345,0,0,164345,12176,0,0,4463,1640,111588,0,124,1158,26059,820,1148,2840,0,0,2329,0,ND,ND,ND,ND,ND,ND
1962:Q4,168307,168307,0,0,168307,12568,0,0,4496,1656,114637,0,135,1227,26374,855,1190,2835,0,0,2334,0,ND,ND,ND,ND,ND,ND
1963:Q1,171352,171352,0,0,171352,12882,0,0,4453,1668,117371,0,145,1327,26538,890,1235,2517,0,0,2326,0,ND,ND,ND,ND,ND,ND
1963:Q2,175801,175801,0,0,175801,13427,0,0,4123,1674,121487,0,154,1321,26707,925,1281,2127,0,0,2575,0,ND,ND,ND,ND,ND,ND
1963:Q3,180662,180662,0,0,180662,13594,0,0,4078,1677,125602,0,162,1395,26902,962,1329,2070,0,0,2891,0,ND,ND,ND,ND,ND,ND
1963:Q4,185106,185106,0,0,185106,13780,0,0,4124,1681,129063,0,171,1482,27331,1006,1379,2040,0,0,3049,0,ND,ND,ND,ND,ND,ND
1964:Q1,188776,188776,0,0,188776,14285,0,0,4097,1686,131984,0,181,1486,27574,1067,1433,2023,0,0,2960,0,ND,ND,ND,ND,ND,ND
1964:Q2,193368,193368,0,0,193368,14550,0,0,3997,1690,135852,0,192,1428,27810,1133,1487,2010,0,0,3219,0,ND,ND,ND,ND,ND,ND
1964:Q3,198076,198076,0,0,198076,14978,0,0,4004,1693,139617,0,204,1485,28038,1192,1544,1972,0,0,3349,0,ND,ND,ND,ND,ND,ND
1964:Q4,202335,202335,0,0,202335,15436,0,0,4023,1696,142777,0,217,1450,28525,1250,1609,1986,0,0,3366,0,ND,ND,ND,ND,ND,ND
1965:Q1,205891,205891,0,0,205891,15725,0,0,3996,1698,145365,0,233,1589,28853,1312,1686,2019,0,0,3415,0,ND,ND,ND,ND,ND,ND
1965:Q2,210329,210329,0,0,210329,16165,0,0,3900,1699,148886,0,252,1586,29020,1425,1772,2049,0,0,3575,0,ND,ND,ND,ND,ND,ND
1965:Q3,215042,215042,0,0,215042,16265,0,0,3888,1700,152807,0,271,1505,29207,1479,1863,2154,23,0,3880,0,ND,ND,ND,ND,ND,ND
1965:Q4,219449,219449,0,0,219449,16683,0,0,3900,1705,156007,0,286,1426,29589,1516,1954,2510,50,0,3823,0,ND,ND,ND,ND,ND,ND
1966:Q1,223358,223358,0,0,223358,16655,0,0,3995,1714,158458,0,297,1672,29849,1567,2047,3261,84,0,3759,0,ND,ND,ND,ND,ND,ND
1966:Q2,227232,227232,0,0,227232,17142,0,0,4121,1728,161030,0,304,1623,30026,1598,2147,3699,122,0,3692,0,ND,ND,ND,ND,ND,ND
1966:Q3,230272,230272,0,0,230272,17508,0,0,4329,1741,163016,0,310,1502,30083,1645,2244,4068,188,0,3638,0,ND,ND,ND,ND,ND,ND
1966:Q4,232742,232742,0,0,232742,18097,0,0,4537,1749,164334,0,319,1434,30233,1730,2327,4386,266,0,3330,0,ND,ND,ND,ND,ND,ND
1967:Q1,234221,234221,0,0,234221,18410,0,0,4687,1751,164959,0,333,1435,30243,1761,2405,4592,356,0,3289,0,ND,ND,ND,ND,ND,ND
1967:Q2,237076,237076,0,0,237076,18632,0,0,4775,1748,167173,0,351,1428,30072,1750,2484,4582,458,0,3623,0,ND,ND,ND,ND,ND,ND
1967:Q3,241547,241547,0,0,241547,18969,0,0,5000,1744,170627,0,369,1425,29847,1784,2522,4983,551,0,3726,0,ND,ND,ND,ND,ND,ND
1967:Q4,245974,245974,0,0,245974,19505,0,0,5253,1741,173770,0,382,1384,29763,1793,2560,5513,652,0,3658,0,ND,ND,ND,ND,ND,ND
1968:Q1,249378,249378,0,0,249378,20133,0,0,5521,1742,175777,0,393,1319,29644,1794,2630,6154,761,0,3510,0,ND,ND,ND,ND,ND,ND
1968:Q2,253675,253675,0,0,253675,20552,0,0,5760,1743,178728,0,401,1311,29450,1773,2688,6612,878,0,3769,10,ND,ND,ND,ND,ND,ND
1968:Q3,258183,258183,0,0,258183,21158,1,0,5994,1746,182228,0,408,1279,29198,1780,2686,6830,936,0,3914,25,ND,ND,ND,ND,ND,ND
1968:Q4,262934,262934,0,0,262934,21622,1,0,6155,1751,185804,0,417,1276,29030,1774,2724,7151,994,0,4201,34,ND,ND,ND,ND,ND,ND
1969:Q1,264857,264857,0,0,264857,19531,1,0,6263,1758,188662,0,425,1259,28929,1778,2755,7671,1052,0,4724,49,ND,ND,ND,ND,ND,ND
1969:Q2,269738,269738,0,0,269738,19350,2,0,6290,1767,192498,0,433,1182,28746,1772,2762,8155,1108,0,5591,82,ND,ND,ND,ND,ND,ND
1969:Q3,274512,274512,0,0,274512,19749,3,0,6331,1784,196220,0,441,1087,28502,1799,2725,9298,1236,0,5211,126,ND,ND,ND,ND,ND,ND
1969:Q4,278689,278689,0,0,278689,21688,4,0,6361,1809,197730,0,449,1055,27649,1829,2750,10919,1369,0,4868,209,ND,ND,ND,ND,ND,ND
1970:Q1,280971,275814,1031,4126,280971,21107,7,0,6362,1845,198225,0,521,745,27777,1829,2800,12446,1522,0,5427,358,ND,ND,ND,ND,ND,ND
1970:Q2,284366,278674,1138,4554,284366,21053,9,0,6337,1847,200145,0,536,764,27448,1814,2913,13508,1686,0,5889,417,ND,ND,ND,ND,ND,279
1970:Q3,288349,282347,1200,4802,288349,21024,10,0,6293,1851,203137,0,551,784,27064,1791,2852,14883,2005,0,5625,479,ND,ND,ND,ND,ND,362
1970:Q4,292240,286015,1245,4980,292240,20988,12,0,6234,1884,205919,0,569,800,26739,1781,2862,15538,2532,0,5789,593,ND,ND,ND,ND,ND,446
1971:Q1,296349,289592,1351,5406,296349,21117,13,100,6038,1899,208922,0,590,813,26388,1732,2824,15305,3583,0,6369,656,ND,ND,ND,ND,ND,530
1971:Q2,303206,295363,1569,6274,303206,21260,15,225,5956,1901,214474,0,664,824,25827,1727,2828,15263,5041,0,6444,757,ND,ND,ND,ND,ND,613
1971:Q3,311379,302822,1711,6846,311379,21038,15,350,5871,1912,221683,0,670,835,25187,1624,2784,16724,5717,0,6241,728,ND,ND,ND,ND,ND,697
1971:Q4,318411,309454,1791,7166,318411,20691,16,475,5615,1978,227465,0,676,847,24645,1488,2950,17615,6717,0,6464,769,ND,ND,ND,ND,ND,781
1972:Q1,325753,316038,1943,7772,325753,20766,18,600,5660,1979,233926,0,680,881,24173,1334,2964,17930,7636,0,6338,868,ND,ND,ND,ND,ND,864
1972:Q2,335726,324462,2253,9011,335726,20516,22,700,5596,2051,242828,0,695,927,23621,1312,2927,18450,8681,0,6308,1092,ND,ND,ND,ND,ND,949
1972:Q3,347347,334408,2588,10351,347347,20361,22,800,5443,2057,253338,0,700,972,22936,1146,2949,18975,9587,0,7001,1060,ND,ND,ND,ND,ND,1032
1972:Q4,357381,343552,2766,11063,357381,19796,24,900,4981,2092,262798,0,698,1000,22315,1076,2999,19464,10701,0,7351,1186,ND,ND,ND,ND,ND,1115
1973:Q1,365955,351550,2881,11524,365955,19698,26,963,4781,2124,270911,0,656,1155,21857,916,3090,19939,11356,0,7203,1280,ND,ND,ND,ND,ND,1199
1973:Q2,378024,361814,3242,12968,378024,19560,26,1008,3868,2177,282257,0,615,1264,21276,882,3098,20534,12500,0,7673,1286,ND,ND,ND,ND,ND,1282
1973:Q3,389894,372134,3552,14208,389894,19647,33,1008,4557,2306,291991,0,663,1369,20742,864,3080,21840,12922,0,7246,1626,ND,ND,ND,ND,ND,1367
1973:Q4,399840,382218,3524,14098,399840,19616,38,975,4211,2642,298572,0,712,1441,20426,846,3166,22839,13636,0,8878,1842,ND,ND,ND,ND,ND,1450
1974:Q1,407909,389858,3610,14441,407909,20224,40,974,4005,2791,303864,0,695,1476,20104,840,3205,23056,15269,0,9384,1982,ND,ND,ND,ND,ND,1534
1974:Q2,418838,400439,3680,14719,418838,20740,40,970,4494,2915,311953,0,677,1471,19583,829,3165,24865,15799,0,9364,1973,ND,ND,ND,ND,ND,1617
1974:Q3,428859,411381,3496,13982,428859,22372,35,959,4551,3012,317985,0,765,1470,19232,825,3173,26980,17152,0,8626,1722,ND,ND,ND,ND,ND,1701
1974:Q4,435176,419339,3167,12670,435176,22649,34,942,5617,3385,321010,0,766,1513,19026,819,3237,28441,18038,0,8025,1674,ND,ND,ND,ND,ND,1785
1975:Q1,439951,424313,3128,12510,439951,17131,5736,903,5513,3704,323432,0,730,1605,18750,751,3154,28444,20820,0,7845,1433,ND,ND,ND,ND,ND,1869
1975:Q2,450826,434575,3250,13001,450826,18075,5732,880,6701,3845,330263,0,745,1744,18365,723,3129,29027,22351,0,8051,1195,ND,ND,ND,ND,ND,1946
1975:Q3,462776,446324,3290,13162,462776,18864,5724,895,8114,3961,337781,0,753,1887,17955,700,3114,30197,23486,0,8426,919,ND,ND,ND,ND,ND,2325
1975:Q4,474003,459087,2983,11933,474003,19005,5746,945,9667,4154,345117,0,760,1993,17590,679,2867,30934,25339,0,8482,725,ND,ND,ND,ND,ND,2693
1976:Q1,486205,469994,3242,12969,486205,20162,5190,996,10098,4212,353744,0,810,2119,17160,679,2847,31064,27700,0,8737,687,ND,ND,ND,ND,ND,2789
1976:Q2,501045,483990,3411,13644,501045,20805,5004,1064,8869,4513,366279,0,859,2251,16855,664,2836,30856,30627,0,8920,643,ND,ND,ND,ND,ND,2853
1976:Q3,518784,501121,3533,14130,518784,21341,4875,1170,9012,4695,380150,0,875,2381,16448,649,2805,31540,33513,0,8735,595,ND,ND,ND,ND,ND,2913
1976:Q4,535022,517073,3590,14359,535022,21320,4796,1310,8927,4970,392391,0,889,2500,16088,623,2844,31430,37257,0,9135,542,ND,ND,ND,ND,ND,2913
1977:Q1,550282,531310,3794,15178,550282,21776,5177,1362,8868,4972,403738,0,925,2590,15709,596,2789,30656,41753,0,8857,514,ND,ND,ND,ND,ND,3240
1977:Q2,575838,554091,4349,17398,575838,22274,5501,1434,9592,4746,424209,0,961,2656,15434,600,2841,31467,44402,0,9237,484,ND,ND,ND,ND,ND,3561
1977:Q3,603197,579911,4657,18629,603197,22563,5767,1554,10439,4908,444583,0,910,2721,15038,574,2834,31652,48830,0,10370,454,ND,ND,ND,ND,ND,3825
1977:Q4,627724,602997,4945,19782,627724,22293,6049,1716,11386,5173,463088,0,877,2800,14740,611,2913,31918,52988,0,10750,422,ND,ND,ND,ND,ND,4175
1978:Q1,646079,621021,5012,20046,646079,23113,6241,1899,10818,5607,476129,0,930,2915,14417,676,2926,33566,55350,0,11082,410,ND,ND,ND,ND,ND,4651
1978:Q2,674540,648036,5301,21203,674540,24846,6349,2094,11665,5978,495528,0,996,3052,14217,717,2928,35564,57993,0,12215,398,ND,ND,ND,ND,ND,5252
1978:Q3,707359,678951,5682,22726,707359,26887,6396,2321,12656,6622,517024,0,1010,2702,14158,791,2984,38282,61032,0,14113,381,ND,ND,ND,ND,ND,5914
1978:Q4,738254,708641,5923,23690,738254,27834,6470,2575,13273,7159,536775,0,1025,2512,14436,853,2802,40942,65354,0,15871,373,ND,ND,ND,ND,ND,6645
1979:Q1,762873,733605,5854,23414,762873,29402,6805,2800,14012,7991,548890,0,1040,2641,14495,916,2826,44367,70268,0,16064,356,ND,ND,ND,ND,ND,7168
1979:Q2,794869,763421,6290,25158,794869,31662,7098,3006,14679,8938,567805,0,1055,2632,14469,902,2868,46341,74795,0,18281,338,ND,ND,ND,ND,ND,7641
1979:Q3,828850,795927,6585,26338,828850,33892,7421,3166,15240,10194,585923,0,1070,2499,14850,1021,2967,47778,81301,0,21207,321,ND,ND,ND,ND,ND,8374
1979:Q4,855779,826724,5811,23244,855779,34075,7690,3290,15592,11835,598749,0,1085,3102,16144,1179,3091,50128,88429,0,21086,304,ND,ND,ND,ND,ND,9133
1980:Q1,886093,856228,5773,24092,886093,42475,9251,3173,16546,13516,606147,0,1105,4477,17143,1218,3228,53327,93521,0,20666,300,ND,ND,ND,ND,ND,9799
1980:Q2,902289,873960,5466,22863,902289,43599,11111,3141,17174,15466,610367,0,1125,4732,17804,1287,3355,54775,97347,0,20711,295,ND,ND,ND,ND,ND,10451
1980:Q3,931530,901374,5631,24525,931530,47810,13083,3319,17623,17719,622428,0,1145,4432,17990,1347,3448,55536,102880,0,22480,290,ND,ND,ND,ND,ND,10690
1980:Q4,957912,926526,5877,25509,957912,48602,15086,3666,18301,19744,636320,0,1165,4645,17943,1413,3529,57758,107126,0,22329,285,ND,ND,ND,ND,ND,11318
1981:Q1,973129,940590,5908,26631,973129,50936,14934,4208,18979,21753,641996,0,1185,4505,17799,1482,3632,58050,110264,0,23120,286,ND,ND,ND,ND,ND,12243
1981:Q2,996937,964154,5957,26826,996937,57594,13406,4815,19539,23446,652727,0,1205,4136,17549,1497,3687,58624,113866,0,24560,286,ND,ND,ND,ND,ND,13101
1981:Q3,1014571,981849,5744,26978,1014571,62384,11398,5584,20219,24570,659148,0,1225,3828,17376,1503,3748,61015,117244,0,25042,287,ND,ND,ND,ND,ND,13114
1981:Q4,1030213,998261,5590,26362,1030213,65702,9154,6483,20690,25566,661423,0,1245,3686,17201,1495,3837,63990,125010,0,24444,287,ND,ND,ND,ND,ND,13265
1982:Q1,1041585,1007909,5535,28141,1041585,72223,5081,7108,21014,26163,658234,0,1213,3125,17094,2415,3866,65298,133734,0,24733,284,ND,ND,ND,ND,ND,13504
1982:Q2,1055044,1019260,5557,30227,1055044,74598,6342,7682,21411,26727,654040,0,1150,3082,16467,2694,3918,67837,142967,0,25848,281,ND,ND,ND,ND,ND,14135
1982:Q3,1055314,1017736,5716,31862,1055314,70572,5565,8132,21872,27577,639412,0,1080,3099,16874,3085,3916,71692,156168,0,25992,278,ND,ND,ND,ND,ND,14257
1982:Q4,1070187,1031175,5802,33210,1070187,77087,3766,8480,22143,28557,625935,0,1025,2686,16751,3282,3906,74316,174349,0,27630,274,ND,ND,ND,ND,ND,14203
1983:Q1,1087139,1026258,5976,54905,1087139,74195,4091,8741,21976,29721,624162,0,1010,2765,16422,2746,3950,76228,191975,0,28895,262,ND,ND,ND,ND,ND,14303
1983:Q2,1116296,1053751,6109,56436,1116296,74561,3852,9053,22388,30940,630939,0,1020,3535,15860,2989,3904,78617,208340,0,30049,249,ND,ND,ND,ND,ND,14535
1983:Q3,1153484,1087568,6583,59333,1153484,72351,5729,9492,22765,32063,647460,0,1035,4051,15534,2863,3899,79822,226385,0,29799,236,ND,ND,ND,ND,ND,14736
1983:Q4,1186271,1116384,7177,62710,1186271,71848,5890,10032,22891,33712,661631,0,1060,4381,15319,2797,3899,83685,239439,0,29464,223,ND,ND,ND,ND,ND,15184
1984:Q1,1216062,1144101,7392,64569,1216062,72613,4940,10944,22954,35098,672573,0,1085,5538,14900,3425,3891,87569,250431,0,29872,229,ND,ND,ND,ND,ND,14807
1984:Q2,1254448,1177677,8354,68417,1254448,74714,3916,11817,22964,36425,696113,0,1125,6398,14404,3305,3869,89128,257762,0,32273,235,ND,ND,ND,ND,ND,15337
