1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2231,103,1619,12,0,-6,-10,-8,43,-1,-9,0,0,488,2231,1617,467,5,-56,111,0,0,1,7,0,8,0,0,71
1952:Q1,7056,-4,5500,20,0,0,0,0,80,0,8,0,0,1452,7056,5496,1452,4,0,96,0,0,0,0,0,0,0,0,8
1952:Q2,2245,-48,-87,12,0,12,4,4,48,4,4,0,0,2292,2245,-87,2244,8,0,60,0,8,8,12,0,12,0,0,-20
1952:Q3,2723,-160,1627,8,0,8,4,0,28,4,8,0,0,1196,2723,1623,1148,4,0,40,0,4,8,12,0,16,0,0,-132
1952:Q4,1753,508,2797,24,0,36,4,0,40,-4,12,0,0,-1664,1753,2789,-1728,4,0,68,0,0,8,24,0,24,0,0,564
1953:Q1,3094,-32,1494,16,0,8,0,4,100,4,12,0,0,1488,3094,1494,1436,8,0,116,0,8,8,12,0,16,0,0,-4
1953:Q2,1008,-260,-532,12,0,12,4,8,64,4,16,0,0,1680,1008,-536,1628,0,0,84,0,8,8,12,0,16,0,0,-212
1953:Q3,2109,-80,641,8,0,16,4,4,36,4,12,0,0,1464,2109,633,1408,12,0,40,0,8,8,16,0,16,0,0,-32
1953:Q4,8729,672,9745,12,0,20,4,12,40,4,28,0,0,-1808,8729,9737,-1864,8,0,56,0,0,12,16,0,16,0,0,748
1954:Q1,-494,-44,-1818,20,0,12,4,4,112,4,16,0,0,1196,-494,-1822,1136,4,-32,168,0,8,8,16,0,20,0,0,0
1954:Q2,-1383,68,-3123,8,0,12,4,8,-12,4,12,0,0,1636,-1383,-3131,1572,4,-84,88,0,8,12,16,0,16,0,0,116
1954:Q3,-2135,56,-3139,16,0,8,4,4,36,0,12,0,0,868,-2135,-3143,800,8,0,56,0,8,12,16,0,20,0,0,88
1954:Q4,2966,172,3450,48,0,12,-16,0,424,0,12,0,0,-1136,2966,3438,-1208,8,372,108,0,8,8,20,0,20,0,0,192
1955:Q1,717,-68,-615,24,0,8,4,4,140,4,12,0,0,1204,717,-619,1132,8,0,168,0,8,12,16,0,24,0,0,-32
1955:Q2,-2656,-144,-4692,4,0,12,8,8,108,4,16,0,0,2020,-2656,-4700,1952,8,0,116,0,4,12,20,0,20,0,0,-88
1955:Q3,-1280,-176,-2680,12,0,16,4,4,48,4,16,0,0,1472,-1280,-2684,1396,16,0,56,0,8,12,20,0,24,0,0,-128
1955:Q4,2825,816,3409,20,0,16,-4,4,72,0,24,0,0,-1532,2825,3393,-1616,16,0,84,0,16,12,24,0,24,0,0,872
1956:Q1,3433,220,653,28,0,16,8,4,232,4,16,0,0,2252,3433,649,2184,12,0,252,0,8,8,20,0,28,0,0,272
1956:Q2,626,320,-2526,24,0,8,4,4,96,0,12,0,0,2684,626,-2534,2608,16,-12,124,0,12,12,20,0,24,0,0,356
1956:Q3,2398,336,-1482,16,0,8,0,4,52,4,8,0,0,3452,2398,-1486,3236,12,140,56,0,12,12,24,0,28,0,0,364
1956:Q4,2169,-340,3085,24,0,20,12,8,68,8,28,0,0,-744,2169,3073,-832,12,0,92,0,8,12,28,0,28,0,0,-252
1957:Q1,4161,140,1017,20,0,12,4,0,512,0,16,0,0,2440,4161,1017,2372,16,300,208,0,8,12,24,0,32,0,0,172
1957:Q2,5062,184,-126,8,0,0,4,4,88,0,12,0,0,4888,5062,-130,4812,28,-28,96,0,12,12,24,0,28,0,0,208
1957:Q3,1920,32,-12,20,0,4,0,4,48,0,12,0,0,1812,1920,-16,1724,8,0,64,0,12,12,28,0,32,0,0,56
1957:Q4,718,20,314,28,0,20,24,20,76,-4,-28,0,0,248,718,310,152,12,0,92,0,8,16,36,0,36,0,0,56
1958:Q1,4735,272,2899,20,0,0,4,4,220,0,0,0,0,1316,4735,2895,1252,8,0,228,0,12,8,24,0,24,0,0,284
1958:Q2,4651,300,1799,12,0,4,0,0,40,0,0,0,0,2496,4651,1791,2404,0,-16,80,0,8,16,24,0,32,0,0,312
1958:Q3,4991,284,3127,16,0,4,0,0,52,0,0,0,0,1508,4991,3123,1416,40,-24,60,0,12,12,28,0,32,0,0,292
1958:Q4,2079,-548,3347,24,0,-4,-20,-20,72,-4,8,0,0,-776,2079,3335,-868,16,0,88,0,8,16,32,0,28,0,0,-576
1959:Q1,-83,400,-2955,44,0,4,0,0,268,0,-4,0,0,2160,-83,-2963,2064,20,12,288,0,12,16,24,0,36,0,0,408
1959:Q2,-4057,488,-7761,24,0,8,4,4,100,4,4,0,0,3068,-4057,-7769,2972,8,12,108,0,12,12,32,0,36,0,0,520
1959:Q3,-4368,368,-6864,12,0,8,4,0,68,4,8,0,0,2024,-4368,-6872,1936,48,-28,56,0,12,16,32,0,32,0,0,400
1959:Q4,-3061,-652,-613,16,0,24,4,4,104,0,28,0,0,-1976,-3061,-629,-2064,20,8,88,0,12,12,32,0,36,0,0,-576
1960:Q1,2708,300,-256,32,0,12,0,4,396,4,12,0,0,2204,2708,-256,2116,24,0,396,0,8,16,32,0,40,0,0,332
1960:Q2,-146,172,-1858,20,0,16,8,4,84,4,24,0,0,1380,-146,-1862,980,-4,328,84,0,8,16,36,0,36,0,0,232
1960:Q3,1072,208,-960,12,0,16,8,8,116,8,28,0,0,1628,1072,-964,1536,48,16,56,0,12,16,32,0,40,0,0,280
1960:Q4,6164,88,-832,24,0,16,-8,-4,108,12,52,0,0,6708,6164,-836,6296,16,316,100,0,16,16,40,0,40,0,0,160
1961:Q1,-1644,240,-5252,56,0,16,8,4,392,4,20,0,0,2868,-1644,-5260,2752,20,0,432,0,12,16,40,0,44,0,0,300
1961:Q2,3750,316,870,8,0,12,0,4,76,4,8,0,0,2452,3750,862,2328,4,16,80,0,12,12,36,0,48,0,0,352
1961:Q3,4034,132,538,28,0,8,4,4,52,4,4,0,0,3260,4034,526,3132,60,-44,76,0,12,16,44,0,44,0,0,168
1961:Q4,6993,272,4417,52,0,-8,-44,-40,60,4,-28,0,0,2308,6993,4409,1500,16,688,96,0,12,20,40,0,48,0,0,164
1962:Q1,3657,140,1453,32,0,8,0,4,56,0,16,0,0,1948,3657,1449,1824,20,4,68,0,12,16,44,0,48,0,0,172
1962:Q2,2034,260,-710,20,0,12,4,4,44,4,12,0,0,2384,2034,-714,2256,4,8,52,0,12,20,44,0,52,0,0,300
1962:Q3,3282,144,314,16,0,8,4,4,32,4,8,0,0,2748,3282,314,2596,64,-44,44,0,16,20,48,0,52,0,0,172
1962:Q4,5726,320,830,20,0,32,24,20,64,8,44,0,0,4364,5726,826,3736,16,496,72,0,12,12,48,0,56,0,0,452
1963:Q1,6150,184,2178,44,0,8,0,4,44,4,12,0,0,3672,6150,2174,3508,20,8,80,0,16,20,52,0,56,0,0,216
1963:Q2,4364,400,540,12,0,0,4,0,60,0,-4,0,0,3352,4364,536,3196,0,36,56,0,12,20,48,0,56,0,0,404
1963:Q3,5416,356,2148,24,0,0,-4,0,88,0,-8,0,0,2812,5416,2144,2636,76,-52,108,0,16,20,56,0,64,0,0,348
1963:Q4,6941,-148,3461,40,0,-24,-20,-20,-120,4,-36,0,0,3804,6941,3453,3392,16,36,132,0,12,20,56,0,60,0,0,-236
1964:Q1,6210,272,2710,44,0,0,0,0,40,0,-8,0,0,3152,6210,2706,2976,20,-56,140,0,16,16,60,0,64,0,0,268
1964:Q2,4466,316,138,20,0,8,4,4,60,0,8,0,0,3908,4466,130,3532,4,204,88,0,16,20,56,0,68,0,0,348
1964:Q3,5132,132,1084,20,0,4,4,4,-48,4,8,0,0,3920,5132,1080,3732,84,-176,84,0,16,24,60,0,68,0,0,160
1964:Q4,9473,284,5237,24,0,-8,-28,-24,60,4,8,0,0,3916,9473,5229,3472,32,216,104,0,16,20,68,0,72,0,0,244
1965:Q1,10232,540,3148,48,0,8,4,4,120,4,4,0,0,6352,10232,3144,6156,32,0,152,0,16,24,64,0,76,0,0,568
1965:Q2,7033,-40,1645,20,0,-8,-4,-4,124,-4,-28,0,0,5332,7033,1637,5144,80,-20,96,0,16,16,68,0,76,0,0,-80
1965:Q3,8028,476,3372,12,0,-12,-4,-4,84,-4,-32,0,0,4140,8028,3364,3928,64,-20,76,0,12,24,72,0,80,0,0,428
1965:Q4,10437,508,6517,28,0,-32,-4,-4,68,0,-84,0,0,3440,10437,6505,3196,28,0,84,0,24,32,80,0,92,0,0,396
1966:Q1,6199,432,1087,36,0,-12,-4,-4,392,-4,-24,0,0,4300,6199,1087,4104,48,208,168,0,16,24,76,0,84,0,0,384
1966:Q2,7328,268,1364,8,0,16,4,4,384,4,24,0,0,5252,7328,1360,5056,56,152,176,0,20,20,76,0,88,0,0,324
1966:Q3,10560,-172,5364,16,0,12,8,8,188,4,24,0,0,5108,10560,5360,4840,72,56,124,0,16,24,84,0,96,0,0,-112
1966:Q4,12323,500,5695,16,0,60,36,32,92,8,116,0,0,5768,12323,5691,5988,32,-440,80,0,20,24,84,0,88,0,0,756
1967:Q1,12044,616,6572,32,0,16,4,4,128,0,12,0,0,4660,12044,6560,4304,48,132,176,0,72,32,28,0,28,0,0,664
1967:Q2,3363,632,-1209,28,0,4,4,4,24,4,-12,0,0,3884,3363,-1225,3480,96,68,124,0,76,32,24,0,36,0,0,652
1967:Q3,5702,400,-354,16,0,8,4,4,84,4,-16,0,0,5552,5702,-370,5012,36,320,104,0,80,36,32,0,32,0,0,420
1967:Q4,3979,544,-1749,36,0,0,-20,-16,76,0,-44,0,0,5152,3979,-1765,4740,48,164,128,0,88,32,28,0,36,0,0,480
1968:Q1,15867,1120,10619,56,0,8,4,4,172,4,-12,0,0,3892,15867,10607,3488,44,160,232,0,96,36,28,0,36,0,0,1140
1968:Q2,6515,376,1191,20,0,12,4,8,236,4,8,0,0,4656,6515,1179,4220,128,216,152,0,100,36,28,0,32,0,0,424
1968:Q3,6612,352,788,8,0,12,4,4,-688,0,32,0,0,6100,6612,772,5748,32,-584,12,0,108,40,32,0,32,0,0,420
1968:Q4,6006,608,-490,44,0,8,-28,-16,-332,0,-8,0,0,6220,6006,-506,5796,224,-480,164,0,120,36,32,0,40,0,0,580
1969:Q1,16463,992,5487,44,3600,12,4,8,252,0,4,0,0,6060,16463,5471,5660,56,88,316,0,124,40,32,0,40,3600,0,1036
1969:Q2,7994,640,-3150,72,3600,20,8,8,204,8,12,0,0,6572,7994,-3166,6048,116,220,232,0,128,40,32,0,32,3600,0,712
1969:Q3,8613,748,-2039,28,3600,20,4,12,100,4,12,0,0,6124,8613,-2055,5636,36,200,128,0,144,40,32,0,36,3600,0,816
1969:Q4,9875,1204,-337,12,3600,52,36,44,276,16,80,0,0,4892,9875,-357,4340,48,228,288,0,156,48,32,0,40,3600,0,1452
1970:Q1,26463,1904,13643,48,3600,20,8,8,-524,8,0,0,0,7748,26463,13615,6168,56,264,516,0,160,40,32,0,36,3600,0,1976
1970:Q2,9125,656,-3731,16,3600,16,8,8,188,4,-8,0,0,8368,9125,-3755,7728,72,200,284,0,172,44,32,0,40,3600,0,708
1970:Q3,8639,1132,-6613,24,7200,16,4,4,80,8,-8,0,0,6792,8639,-6637,6148,24,192,240,0,184,40,32,0,36,7200,0,1180
1970:Q4,10052,704,-5288,44,7200,24,0,4,136,12,12,0,0,7204,10052,-5316,6432,96,276,252,0,200,52,36,0,40,7200,0,784
1971:Q1,4072,660,5812,60,3600,16,8,4,160,4,16,0,0,-6268,4072,5804,-6928,68,140,340,0,212,44,36,0,40,3600,0,716
1971:Q2,11781,476,-3,48,3600,20,4,12,-24,8,24,0,0,7616,11781,-15,6880,80,196,136,0,228,48,32,0,40,3600,0,556
1971:Q3,19996,-996,4444,20,7200,16,8,8,16,4,20,0,0,9256,19996,4432,8300,24,396,216,0,236,48,32,0,40,7200,0,-928
1971:Q4,6505,900,-3651,32,3600,-4,-60,-44,224,0,12,0,0,5496,6505,-3667,4608,144,256,336,0,268,56,40,0,44,3600,0,820
1972:Q1,-6078,-740,3638,76,3600,20,8,8,404,8,16,0,0,-13116,-6078,3622,-13928,40,176,676,0,276,48,32,0,44,3600,0,-664
1972:Q2,1113,756,-9451,44,3600,16,4,8,192,8,8,0,0,5928,1113,-9467,4984,140,276,340,0,296,52,36,0,40,3600,0,816
1972:Q3,16799,1180,-1305,24,7200,16,8,8,60,4,12,0,0,9592,16799,-1321,8688,28,192,324,0,316,52,36,0,40,7200,0,1244
1972:Q4,2142,1764,-13874,60,7200,-12,-68,-56,304,4,-32,0,0,6852,2142,-13894,5536,180,440,484,0,372,72,60,0,72,7200,0,1620
1973:Q1,-63827,3004,-9483,56,0,16,4,4,864,8,1688,0,0,-59988,-63827,-8539,-61140,112,360,1104,0,364,56,36,0,40,740,0,3040
1973:Q2,21720,3616,1928,52,3600,56,24,28,520,16,1264,0,0,10616,21720,2800,9480,248,304,632,0,384,60,36,0,44,3920,0,3812
1973:Q3,31222,1492,18294,36,-1800,56,24,24,548,20,3804,0,0,8724,31222,19110,7452,208,412,692,0,412,56,36,0,40,1112,0,1692
1973:Q4,41879,156,25767,60,3600,96,-76,-48,252,44,1140,0,0,10888,41879,26491,9468,112,416,572,0,460,64,52,0,56,3840,0,348
1974:Q1,-10023,5740,-20655,112,5400,56,-244,24,832,20,1772,0,0,-3080,-10023,-19991,-4464,92,388,1228,0,472,64,36,0,48,6440,0,5664
1974:Q2,-10290,1620,-28182,24,7200,228,-248,-208,868,-4,1016,0,0,7396,-10290,-27514,5800,420,568,856,0,504,60,40,0,40,7224,0,1712
1974:Q3,-3815,5024,-33847,32,5400,224,-244,-212,728,-4,1908,0,0,17176,-3815,-33223,15744,196,328,976,0,540,68,36,0,48,6360,0,5112
1974:Q4,-6207,2024,-29375,44,3600,408,-228,-124,540,-20,1468,0,0,15456,-6207,-28799,13432,196,864,824,0,576,64,40,0,44,3924,0,2628
1975:Q1,9674,360,-14974,20,5400,224,144,124,380,0,1940,0,0,16056,9674,-14466,14204,160,608,712,0,620,64,40,0,48,6800,0,884
1975:Q2,10117,2440,-16727,28,7200,20,144,124,40,0,1076,0,0,15772,10117,-16343,13980,124,476,444,0,660,72,40,0,44,7860,0,2760
1975:Q3,4459,-52,-11037,20,7200,20,144,124,244,4,1244,0,0,6548,4459,-10645,4360,124,800,668,0,704,68,40,0,48,8020,0,272
1975:Q4,23250,4232,-9666,60,5400,-188,148,120,768,0,3376,0,0,19000,23250,-9166,16824,628,732,736,0,752,68,40,0,48,8240,0,4348
1976:Q1,2324,4312,-22108,64,3600,20,140,172,740,4,-304,0,0,15684,2324,-23312,13504,228,620,1164,0,808,72,44,0,48,4480,0,4668
1976:Q2,4304,2808,-12952,56,3240,100,208,176,296,8,1200,0,0,9164,4304,-12868,6040,232,1456,756,0,864,80,40,0,48,4208,0,3448
1976:Q3,12640,2528,-9468,24,3960,104,208,176,252,4,680,0,0,14172,12640,-9732,11128,144,1376,708,0,924,76,40,0,52,4752,0,3172
1976:Q4,12196,1260,-9476,72,5544,276,292,264,636,12,1992,0,0,11324,12196,-8964,7936,508,952,1080,0,1208,128,104,0,116,6620,0,2508
1977:Q1,-13004,2456,-29792,28,4896,100,208,176,1468,8,-492,0,0,7940,-13004,-30340,5216,304,740,1948,0,1052,80,44,0,52,4788,0,3112
1977:Q2,13220,2620,-10604,40,3600,108,88,72,312,4,1564,0,0,15416,13220,-10092,12400,200,908,956,0,1132,80,44,0,48,4480,0,3064
1977:Q3,17203,2792,-2197,64,3600,108,88,76,192,4,872,0,0,11604,17203,-2385,8376,72,972,1052,0,1208,88,40,0,52,4480,0,3248
1977:Q4,35946,1608,8106,52,10972,156,208,168,816,8,-380,0,0,14232,35946,7466,10904,508,860,1288,0,1332,92,56,0,60,10964,0,2416
1978:Q1,15056,3896,-14744,76,2708,108,88,72,2116,4,1240,0,0,19492,15056,-14264,16564,316,1168,2760,0,680,128,168,0,-100,3332,0,4304
1978:Q2,11640,6600,-19108,32,8244,136,232,196,800,16,-340,0,0,14832,11640,-18916,12404,464,568,1312,0,704,136,176,0,-100,7548,0,7344
1978:Q3,11847,7576,-13089,24,3472,140,232,200,828,16,1052,0,0,11396,11847,-12661,8676,380,768,1468,0,728,140,184,0,-96,3944,0,8316
1978:Q4,18819,3900,-13881,64,6368,244,332,292,1148,36,840,0,0,19476,18819,-14509,16276,344,964,1984,0,836,160,204,0,-80,7536,0,5104
1979:Q1,23192,3560,-8464,140,2132,476,604,196,1672,16,1268,0,0,21592,23192,-8436,18796,248,652,2676,0,776,148,200,0,-92,3288,0,4936
1979:Q2,1806,8416,-41814,52,1520,472,604,512,1040,36,2656,0,0,28312,1806,-41154,25504,488,584,1756,0,808,152,204,0,-92,2908,0,10648
1979:Q3,17794,8500,-30618,36,7736,472,600,516,1060,40,1296,0,0,28156,17794,-30238,25260,356,532,1984,0,832,160,216,0,-88,8044,0,10736
1979:Q4,9510,8216,-36534,40,11080,608,792,580,2432,68,1112,0,0,21116,9510,-35962,17996,864,440,2988,0,952,180,240,0,-72,10492,0,11392
1980:Q1,-22554,7392,-52486,56,2496,1316,604,516,-664,-336,-2156,0,0,20708,-22554,-57362,17284,560,864,180,0,892,168,236,0,-84,4164,0,10544
1980:Q2,22643,15200,-54333,40,8452,2652,308,804,1128,332,37176,0,0,10884,22643,-53409,7488,500,684,2128,0,920,176,240,0,-84,9028,36700,18272
1980:Q3,-10017,10532,-51661,60,5736,3024,276,428,624,824,2920,0,0,17220,-10017,-52729,13200,364,1148,1880,0,956,184,256,0,-84,6972,2876,14960
1980:Q4,21150,7996,-18894,76,388,-2884,428,412,1640,520,3204,0,0,28264,21150,-18982,24532,1084,484,2360,0,1096,208,284,0,-68,3800,-3580,9932
1981:Q1,28838,9344,-3038,96,10344,3416,248,124,1192,-1268,-200,0,0,8580,28838,-3346,4660,400,780,2616,0,1016,196,276,0,-76,6068,6260,9988
1981:Q2,64868,13036,9268,76,10500,-5388,292,420,1556,84,11768,0,0,23256,64868,8788,18688,616,1292,2820,0,1060,200,288,0,-76,13268,1116,16808
1981:Q3,64690,13560,21078,44,5980,1952,504,352,1120,500,13932,0,0,5668,64690,19030,972,616,1264,2468,0,1088,204,296,0,-76,9744,11608,17476
1981:Q4,24550,27712,6982,84,18440,1456,1052,1636,1656,-560,-37972,0,0,4064,24550,4442,-864,1020,1232,2784,0,1160,224,316,0,-68,20412,-41824,35716
1982:Q1,-21996,-2156,-44194,80,-6744,5148,136,436,1044,-320,5368,0,0,19206,-21996,-45654,12390,756,852,3180,0,1732,212,848,0,360,-3216,4460,2084
1982:Q2,-43638,2060,-69710,116,-13480,7400,-96,664,708,680,8440,0,0,19581,-43638,-69978,14321,-172,1140,2428,0,1232,136,780,0,540,-7980,8520,5396
1982:Q3,10628,6872,-66617,56,44452,7860,-112,-88,340,-736,1824,0,0,16777,10628,-66649,12261,356,1028,1760,0,1304,44,1076,0,-656,42384,9188,8532
1982:Q4,-2055,3912,-52928,72,26088,-8184,948,100,1340,1192,4968,0,0,20437,-2055,-52108,21273,600,1008,1244,0,-544,88,-1016,0,-804,28120,-8648,8732
1983:Q1,-36948,3472,-50975,136,-15412,-2388,-56,120,-92,-348,4908,0,0,23687,-36948,-52227,16247,96,1660,2248,0,772,28,2404,0,276,-11252,-3580,6380
1983:Q2,-23007,3588,-50798,112,-1804,2364,-16,-48,300,564,3732,0,0,18999,-23007,-50550,14703,-92,900,1764,0,1820,256,-124,0,184,-732,3972,4892
1983:Q3,-379,3188,-63222,100,31012,0,844,-52,-100,696,1924,0,0,25231,-379,-64018,20719,140,1396,1144,0,1308,180,80,0,264,32476,-760,6692
1983:Q4,47341,10760,-44322,76,30560,11340,188,252,708,-2028,6524,0,0,33283,47341,-44342,28639,132,1520,3068,0,240,244,-32,0,256,33588,13140,10888
1984:Q1,-4392,10192,-32868,136,-20620,320,164,-488,904,3852,8208,0,0,25808,-4392,-34136,22076,24,1296,1612,0,416,-28,2200,0,-748,-16396,2716,16576
1984:Q2,-59891,15176,-68223,168,-16576,-16884,-204,-244,868,224,-1756,0,0,27560,-59891,-70203,23408,32,1244,3672,0,1244,108,-1788,0,676,-10920,-23800,16436
1984:Q3,51549,8592,-75631,224,61392,23288,-516,-312,636,2700,7160,0,0,24016,51549,-73879,19412,152,1504,1544,0,1096,184,1408,0,-424,58860,28592,13100
1984:Q4,18751,15656,-67197,116,41720,-304,300,3936,1140,-568,2172,0,0,21780,18751,-67929,15640,112,1660,4252,0,64,788,552,0,-32,44416,-2856,22084
1985:Q1,-4537,14248,-49905,244,-1744,7740,-216,-444,1456,-308,9880,0,0,14512,-4537,-49689,15568,64,1340,1228,0,-1824,-228,56,0,8,2508,12216,14216
1985:Q2,580,9296,-54804,136,9476,-1012,-288,240,848,880,5980,0,0,29828,580,-53368,25148,-484,1360,3024,0,1344,444,-32,0,8,12032,1120,9984
1985:Q3,44175,10496,-35553,128,33704,4,852,1320,400,-976,23832,0,0,9968,44175,-34973,9100,-420,1344,-1480,0,1188,-4,632,0,136,33352,21116,14184
1985:Q4,131085,19072,61801,112,13044,6872,436,-268,500,-1392,7880,0,0,23028,131085,60761,20924,-336,1160,3180,0,-1444,-36,-256,0,448,18432,8396,19856
1986:Q1,53456,-408,-21868,160,35260,12452,-364,-1376,632,-336,3368,0,7180,18756,53456,-20128,13888,-800,832,-68,0,912,-320,5052,0,52,30828,16904,6304
1986:Q2,66475,12352,5059,-56,9056,-26184,32,452,980,-224,41300,176,688,22844,66475,8023,17544,84,1576,1624,0,1256,-1452,3204,0,-68,7680,12128,14876
1986:Q3,63479,25444,807,168,14140,24688,136,4688,240,1776,-17208,0,-7080,15680,63479,295,16176,-784,2860,-956,0,1800,288,-3460,0,164,16168,3088,27840
1986:Q4,53313,52492,-20847,100,18364,10496,668,2812,272,5172,-6944,-8,-18580,9316,53313,-22179,15876,-904,660,-4044,0,-1888,248,-32,0,-228,20328,-1992,47468
1987:Q1,32353,24700,-42871,168,16380,2652,-540,1116,1652,-1932,11340,-4,-2656,22348,32353,-39631,20640,-820,756,1324,0,3128,28,-996,0,108,19644,3496,24676
1987:Q2,-4687,24620,-24603,180,-41028,12412,1592,1156,1192,4912,180,0,-8524,23224,-4687,-25603,22448,-368,1128,-1420,0,1492,16,1348,0,-48,-44808,16904,24224
1987:Q3,65763,35456,-24669,192,19476,9416,200,-508,500,-3944,-2968,4,1780,30828,65763,-23369,27156,-584,1628,1996,0,844,116,368,0,-4,22608,160,34844
1987:Q4,94740,33300,-13952,152,6388,7044,-2348,1860,1832,-312,10432,136,8964,41244,94740,-25064,38476,-112,1332,152,0,940,-32,-4108,0,6580,7408,17768,51400
1988:Q1,49499,51504,-37025,192,-740,23028,1108,1184,2060,2552,16856,0,-18424,7204,49499,-35973,1568,-296,1116,1096,0,3476,284,3744,0,-1532,-2364,33040,45340
1988:Q2,99148,63692,-6784,60,26580,17808,508,-912,1352,236,5776,4,-15532,6360,99148,-6724,4496,44,1192,88,0,1684,-176,1256,0,-812,30680,23160,44260
1988:Q3,85544,46780,-29136,-52,23440,10048,404,1304,2164,-1368,16220,100,-16276,31916,85544,-28880,26148,400,1300,1752,0,2276,368,2136,0,-352,24356,19876,36164
1988:Q4,38393,76756,-46239,64,15644,9560,2128,3676,2280,-2764,-4064,-80,-23700,5132,38393,-45359,352,96,1648,2876,0,1876,-608,1460,0,-224,15208,2140,58928
1989:Q1,79743,10728,-15233,72,21128,16756,-376,1952,752,9280,9660,0,-8140,33164,79743,-15853,27584,-1364,1044,1420,0,1536,-448,4108,0,108,22916,24900,13792
1989:Q2,52454,22524,-24078,56,17656,-5556,964,-220,-1452,10688,3240,-4,4504,24132,52454,-27398,4588,-1584,1028,1020,0,1488,-412,17616,0,-1008,18020,-2108,41204
1989:Q3,24067,55920,-43501,212,-4768,-6504,2596,1524,-184,-11908,5064,0,-1780,27396,24067,-42853,11104,-276,1256,1096,0,1924,-716,13068,0,-32,-2412,-7204,49112
1989:Q4,39451,81344,-37065,180,-520,11932,2380,668,-1496,14044,-16888,-140,-34720,19732,39451,-39685,16028,272,1364,-4400,0,-1492,808,5112,0,724,-4012,-5756,70488
1990:Q1,105235,29440,8627,280,19940,-9108,1028,1320,-4988,-2644,4944,84,19892,36420,105235,7667,44740,-284,1296,-3388,0,2416,288,-13756,0,400,18940,-5280,52196
1990:Q2,113286,22388,35322,124,15820,-7060,700,-632,-2064,2784,10864,4,13140,21896,113286,33438,23004,-288,1228,-800,0,-620,-40,-2620,0,92,14972,2572,42348
1990:Q3,139477,80688,37597,220,4328,24084,1144,160,-1924,-7956,-7660,12,-43396,52180,139477,36121,39100,-292,1844,-3396,4,1232,1440,10216,0,328,5932,14880,32068
1990:Q4,90147,69704,25119,96,2472,-11012,4380,5712,-1148,-1484,-1692,356,-42568,40212,90147,16731,49296,-104,848,-164,4,2328,640,-14132,0,444,-9988,2224,42020
